Category,Sub Category,Product Name,Product Link,Sale Price,Original Price,Primary Image,Product Secondary Images,Product Id
WOMAN /// NEW,,TEXTURED DOUBLE-BREASTED BLAZER,https://www.zara.com/in/en/relaxed-fit-washed-knit-tracksuit-pT0328432200.html?v1=404126585,,595,"['https://static.zara.net/assets/public/c431/3cda/f79547448f21/f533dc2c5957/09134131084-p/09134131084-p.jpg?ts=1726745890343&w={width}', 'https://static.zara.net/assets/public/bebb/5e28/fe80440fa879/d930e95c33a4/09134131084-a1/09134131084-a1.jpg?ts=1726745901636&w={width}']","['https://static.zara.net/assets/public/c431/3cda/f79547448f21/f533dc2c5957/09134131084-p/09134131084-p.jpg?ts=1726745890343&w={width}', 'https://static.zara.net/assets/public/bebb/5e28/fe80440fa879/d930e95c33a4/09134131084-a1/09134131084-a1.jpg?ts=1726745901636&w={width}']",395639833
WOMAN /// NEW,,FINE KNIT BEANIE HAT,https://www.zara.com/in/en/relaxed-fit-washed-knit-tracksuit-pT0328432200.html?v1=404126585,,155,"['https://static.zara.net/assets/public/b604/5ccf/35da4a3cb4a6/f0ae615bcd79/03739226800-e21/03739226800-e21.jpg?ts=1726817653980&w={width}', 'https://static.zara.net/assets/public/ae50/fa6e/53d24e7280d6/ae69804f0436/03739226800-e1/03739226800-e1.jpg?ts=1726818836205&w={width}']","['https://static.zara.net/assets/public/b604/5ccf/35da4a3cb4a6/f0ae615bcd79/03739226800-e21/03739226800-e21.jpg?ts=1726817653980&w={width}', 'https://static.zara.net/assets/public/ae50/fa6e/53d24e7280d6/ae69804f0436/03739226800-e1/03739226800-e1.jpg?ts=1726818836205&w={width}']",377059165
WOMAN /// NEW,,VOLUMINOUS FLORAL TOP,https://www.zara.com/in/en/relaxed-fit-washed-knit-tracksuit-pT0328432200.html?v1=404126585,,355,"['https://static.zara.net/assets/public/c47b/0129/e5cc4d36b556/e4d797f1449b/01014808030-a5/01014808030-a5.jpg?ts=1726587062226&w={width}', 'https://static.zara.net/assets/public/4236/59be/ff00482fbed3/05c6f80f7d04/01014808030-p/01014808030-p.jpg?ts=1726587065327&w={width}']","['https://static.zara.net/assets/public/c47b/0129/e5cc4d36b556/e4d797f1449b/01014808030-a5/01014808030-a5.jpg?ts=1726587062226&w={width}', 'https://static.zara.net/assets/public/4236/59be/ff00482fbed3/05c6f80f7d04/01014808030-p/01014808030-p.jpg?ts=1726587065327&w={width}']",405479769
WOMAN /// NEW,,COMBINED STRAPLESS BODYSUIT,https://www.zara.com/in/en/relaxed-fit-washed-knit-tracksuit-pT0328432200.html?v1=404126585,,255,"['https://static.zara.net/assets/public/cc27/7bc5/20184d80b06a/5323ede2c979/01131832800-a3/01131832800-a3.jpg?ts=1726587061049&w={width}', 'https://static.zara.net/assets/public/01d8/736f/a32043268ff3/b5a697f2d4ea/01131832800-p/01131832800-p.jpg?ts=1726587065549&w={width}']","['https://static.zara.net/assets/public/cc27/7bc5/20184d80b06a/5323ede2c979/01131832800-a3/01131832800-a3.jpg?ts=1726587061049&w={width}', 'https://static.zara.net/assets/public/01d8/736f/a32043268ff3/b5a697f2d4ea/01131832800-p/01131832800-p.jpg?ts=1726587065549&w={width}']",395380758
WOMAN /// NEW,,VOLUMINOUS FLORAL TOP,https://www.zara.com/in/en/relaxed-fit-washed-knit-tracksuit-pT0328432200.html?v1=404126585,,355,"['https://static.zara.net/assets/public/5156/3383/6c9c468bb447/2d029e1f9cd6/01014808030-a3/01014808030-a3.jpg?ts=1726587060292&w={width}', 'https://static.zara.net/assets/public/4236/59be/ff00482fbed3/05c6f80f7d04/01014808030-p/01014808030-p.jpg?ts=1726587065327&w={width}']","['https://static.zara.net/assets/public/5156/3383/6c9c468bb447/2d029e1f9cd6/01014808030-a3/01014808030-a3.jpg?ts=1726587060292&w={width}', 'https://static.zara.net/assets/public/4236/59be/ff00482fbed3/05c6f80f7d04/01014808030-p/01014808030-p.jpg?ts=1726587065327&w={width}']",378187414
WOMAN /// NEW,,GATHERED TOP WITH PUFF SLEEVES,https://www.zara.com/in/en/relaxed-fit-washed-knit-tracksuit-pT0328432200.html?v1=404126585,,355,"['https://static.zara.net/assets/public/27bc/c814/6d79420d9f60/ac0f88dd6ca3/01014805407-a4/01014805407-a4.jpg?ts=1726587060893&w={width}', 'https://static.zara.net/assets/public/dbc6/2b07/9ac4484fadbd/9b516aa9ffe9/01014805407-p/01014805407-p.jpg?ts=1726587061280&w={width}']","['https://static.zara.net/assets/public/27bc/c814/6d79420d9f60/ac0f88dd6ca3/01014805407-a4/01014805407-a4.jpg?ts=1726587060893&w={width}', 'https://static.zara.net/assets/public/dbc6/2b07/9ac4484fadbd/9b516aa9ffe9/01014805407-p/01014805407-p.jpg?ts=1726587061280&w={width}']",405479775
WOMAN /// NEW,,STRAPPY LACE BODYSUIT,https://www.zara.com/in/en/relaxed-fit-washed-knit-tracksuit-pT0328432200.html?v1=404126585,,235,"['https://static.zara.net/assets/public/cbd0/3da1/12da4bf5b27b/c7c4ce574dfe/01131828800-a3/01131828800-a3.jpg?ts=1726587064685&w={width}', 'https://static.zara.net/assets/public/efe4/e448/bec04661860d/8b7e72de2218/01131828800-p/01131828800-p.jpg?ts=1726587065406&w={width}']","['https://static.zara.net/assets/public/cbd0/3da1/12da4bf5b27b/c7c4ce574dfe/01131828800-a3/01131828800-a3.jpg?ts=1726587064685&w={width}', 'https://static.zara.net/assets/public/efe4/e448/bec04661860d/8b7e72de2218/01131828800-p/01131828800-p.jpg?ts=1726587065406&w={width}']",395380787
WOMAN /// NEW,,LACE CORSET TOP,https://www.zara.com/in/en/relaxed-fit-washed-knit-tracksuit-pT0328432200.html?v1=404126585,,215,"['https://static.zara.net/assets/public/b23f/9ec5/8c8a4db2987d/3f5ff05c690f/01131821800-a1/01131821800-a1.jpg?ts=1726587062157&w={width}', 'https://static.zara.net/assets/public/a229/c2f6/dc7c49679863/3e4c92310bd3/01131821800-p/01131821800-p.jpg?ts=1726587066760&w={width}']","['https://static.zara.net/assets/public/b23f/9ec5/8c8a4db2987d/3f5ff05c690f/01131821800-a1/01131821800-a1.jpg?ts=1726587062157&w={width}', 'https://static.zara.net/assets/public/a229/c2f6/dc7c49679863/3e4c92310bd3/01131821800-p/01131821800-p.jpg?ts=1726587066760&w={width}']",395380759
WOMAN /// NEW,,HALTER BODYSUIT,https://www.zara.com/in/en/relaxed-fit-washed-knit-tracksuit-pT0328432200.html?v1=404126585,,235,"['https://static.zara.net/assets/public/3dcc/8eea/4ff84a5dbbb4/d68263a2ed34/01014807800-a3/01014807800-a3.jpg?ts=1726587065654&w={width}', 'https://static.zara.net/assets/public/4135/eabd/d8e342f5ad93/e90babde60f0/01014807800-p/01014807800-p.jpg?ts=1726587064259&w={width}']","['https://static.zara.net/assets/public/3dcc/8eea/4ff84a5dbbb4/d68263a2ed34/01014807800-a3/01014807800-a3.jpg?ts=1726587065654&w={width}', 'https://static.zara.net/assets/public/4135/eabd/d8e342f5ad93/e90babde60f0/01014807800-p/01014807800-p.jpg?ts=1726587064259&w={width}']",405479770
WOMAN /// NEW,,ENDLESS OUD 30 ML / 1.01 oz,https://www.zara.com/in/en/relaxed-fit-washed-knit-tracksuit-pT0328432200.html?v1=404126585,,125,"['https://static.zara.net/assets/public/73a2/bee5/02834ef78dd5/7eff825623cc/20110565999-ult/20110565999-ult.jpg?ts=1725467425197&w={width}', 'https://static.zara.net/assets/public/12ba/4fcf/05c44414ad5a/31723a49fb0f/20110565999-e1/20110565999-e1.jpg?ts=1725464918623&w={width}']","['https://static.zara.net/assets/public/73a2/bee5/02834ef78dd5/7eff825623cc/20110565999-ult/20110565999-ult.jpg?ts=1725467425197&w={width}', 'https://static.zara.net/assets/public/12ba/4fcf/05c44414ad5a/31723a49fb0f/20110565999-e1/20110565999-e1.jpg?ts=1725464918623&w={width}']",392496468
